family,n_features,pairs,p05,q25,median,mean,q75,p95,set
All features,4895,11978065,0.019387485224298413,0.09659646030004566,0.1976155768190657,0.23918915256128953,0.3383242380321701,0.6044699185988736,BEFORE
First order,995,494515,0.014870347533461045,0.08106134772130069,0.18750061246881636,0.24000351025133843,0.35104523779750785,0.6405101979465918,BEFORE
GLCM,1248,778128,0.022465667802972204,0.11165975680008977,0.23222338452598174,0.2735220999528032,0.3980046877111603,0.6603724314268632,BEFORE
GLRLM,832,345696,0.024046296824981054,0.1183137390239728,0.2322125484098975,0.27495076826022175,0.389210576687484,0.6672830542862225,BEFORE
GLSZM,832,345696,0.020144291552257672,0.09488741730767317,0.18232249272054235,0.21998419640581848,0.30222705685408047,0.5581219382194229,BEFORE
GLDM,728,264628,0.021848930828327385,0.10661401305881128,0.2152566755525422,0.2603989059129637,0.3597971009393225,0.660518671226765,BEFORE
NGTDM,260,33670,0.02306721967212808,0.09145221658130542,0.19230189216931065,0.32477435942109867,0.5764703100420927,0.8834948153095633,BEFORE
All features,500,124750,0.009085380081832642,0.04799718951966419,0.11223359394042766,0.15638593739900483,0.2203115546804293,0.45828066125181377,AFTER
First order,123,7503,0.005682493254777693,0.026702680350521514,0.06561031872597453,0.12062695168203809,0.1447581056018059,0.45877609747719855,AFTER
GLCM,150,11175,0.010434120225914677,0.053636883690348455,0.12074951525012856,0.16262647716247952,0.22996183424256966,0.4620695975005614,AFTER
GLRLM,27,351,0.036103460680289315,0.15792176738073638,0.3208422262728072,0.33045116022059157,0.4881889457482764,0.697405790014213,AFTER
GLSZM,104,5356,0.018645308444478537,0.09453131796232452,0.19155030645464943,0.22095250326539892,0.31813189493776456,0.5286698519279077,AFTER
GLDM,36,630,0.050708292996823355,0.1954682456910807,0.3549363693548988,0.352407087772374,0.48552923012825694,0.6851301696285013,AFTER
NGTDM,60,1770,0.015838071148842406,0.10249593385089849,0.3498044168967137,0.3654785981070153,0.6107368048545999,0.7901424585105542,AFTER
